,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
97,NOUR,/vessels/details/6913443,-,1969,110,161,32.82,-,,-,-,-,-,-,-,-,-,-,2025-07-25
98,ZAHER,/vessels/details/622122260,-,-,-,-,15,27,,-,-,-,-,-,-,-,-,-,2025-07-25
99,SAKKR 2,/vessels/details/7910606,-,1981,100,20,24,5,,-,-,-,-,-,-,-,-,-,2025-07-25
100,SHOROK 4,/vessels/details/9593610,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-25
101,EL AABED,/vessels/details/7325643,-,1973,1981,3068,80,14,,-,-,-,-,-,-,-,-,-,2025-07-25
102,RAS EL KHAIMA,/vessels/details/7023958,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-25
103,SHUNLI096,/vessels/details/622442056,-,-,-,-,70,10,,-,-,-,-,-,-,-,-,-,2025-07-25
104,SHOROK 1,/vessels/details/9593581,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-25
105,SHOROK 2,/vessels/details/9593593,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-25
106,HAI BAO,/vessels/details/622666018,-,-,-,-,180,32,,-,-,-,-,-,-,-,-,-,2025-07-25
107,EL HURREYA 3,/vessels/details/9500390,-,2024,20437,11350,174,26,,-,-,-,-,-,-,-,-,-,2025-07-25
108,SUEZ FLOWER,/vessels/details/7012507,-,1970,1179,1727,73,12,,-,-,-,-,-,-,-,-,-,2025-07-25
109,EL HURREYA 3,/vessels/details/9500390,-,2024,20437,11350,174,26,,-,-,-,-,-,-,-,-,-,2025-07-25
110,SHOROK 1,/vessels/details/9593581,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-25
