,name,url,type,year_built,gross_tonnage,deadweight,length(m),beam(m),detail_link,departure_date,last_port_country,last_port_name,arrival_date,destination_port_country,destination_port_name,destination_port_lat,destination_port_lon,reported_status,report_date
51,AYEDA 3,/vessels/details/7630969,-,1977,350,500,53.83,-,,-,-,-,-,-,-,-,-,-,2025-07-12
52,BADR,/vessels/details/7928330,-,1984,260,400,43,8,,-,-,-,-,-,-,-,-,-,2025-07-12
53,TAAWON 11,/vessels/details/8112201,-,1982,643,1085,60,10,,-,-,-,-,-,-,-,-,-,2025-07-12
54,TANKER NO. 230,/vessels/details/7944748,-,1978,300,491,43,8,,-,-,-,-,-,-,-,-,-,2025-07-12
55,TAAWON 9,/vessels/details/7600639,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-12
56,ISIS,/vessels/details/7728211,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-12
57,ATBARA,/vessels/details/7630995,-,1979,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-12
58,TANKER NO. 11,/vessels/details/8215388,-,1985,352,550,42,8,,-,-,-,-,-,-,-,-,-,2025-07-12
59,SPEED 1,/vessels/details/9145566,-,2007,436,595,49,8,,-,-,-,-,-,-,-,-,-,2025-07-12
60,AL NIL,/vessels/details/7630971,-,1978,350,508,54,10,,-,-,-,-,-,-,-,-,-,2025-07-12
61,TAAWON 14,/vessels/details/8316742,-,1984,643,975,60,10,,-,-,-,-,-,-,-,-,-,2025-07-12
62,AYEDA 4,/vessels/details/7630945,-,1976,350,500,-,-,,-,-,-,-,-,-,-,-,-,2025-07-12
63,NISR 1,/vessels/details/7600615,-,1977,1244,1829,73,11,,-,-,-,-,-,-,-,-,-,2025-07-12
64,HEFILA,/vessels/details/8659053,-,2012,192,370,33,6,,-,-,-,-,-,-,-,-,-,2025-07-12
65,TIMSAH 3,/vessels/details/7928316,-,1982,260,300,43,8,,-,-,-,-,-,-,-,-,-,2025-07-12
66,ISIS,/vessels/details/7728211,-,1979,350,500,48,8,,-,-,-,-,-,-,-,-,-,2025-07-12
67,SALWA,/vessels/details/6501587,-,1965,638,1260,71,10,,-,-,-,-,-,-,-,-,-,2025-07-12
68,TANKER NO. 230,/vessels/details/7944748,-,1978,300,491,43,8,,-,-,-,-,-,-,-,-,-,2025-07-12
69,WADI ALMOLOUK,/vessels/details/9897999,Cargo ship,2020,44732,82318,229,32,,"Jul 10, 14:52 UTC (2 days ago)",Taiwan,Taichung,"Jul 21, 21:00
(in 9 days)",Australia,Kwinana,32.1946S, 115.7255E,-,2025-07-12
70,WADI ALARISH,/vessels/details/9952672,Cargo ship,2024,44560,82234,229,32,,"Jun 25, 21:13 UTC (17 days ago)",United Arab Emirates (UAE),Al Fujayrah Anch.,"Jul 23, 10:00
(in 11 days)",Uruguay,Nueva Palmira,33.8791S, 58.4269W,-,2025-07-12
71,WADI ALMALEKAT,/vessels/details/9763904,Cargo ship,2017,44069,81227,229,32,,"Jul 12, 06:51 UTC (8 hours ago)",China,Dongguan,"Jul 17, 16:00
(in 5 days)",Singapore,Singapore,1.2788N, 103.7566E,Moored,2025-07-12
72,WADI TIBA,/vessels/details/9460746,Cargo ship,2011,43736,80469,229,32,,"Jul 11, 07:39 UTC (1 day ago)",Gibraltar,Gibraltar West Anch.,"Jul 21, 15:00
(in 9 days)",,BARCARENA - BRAZIL,-,-,Under way,2025-07-12
73,WADI ALKARM,/vessels/details/9460760,-,2011,43736,80533,229,32,,-,-,-,-,-,-,-,-,-,2025-07-12
74,WADI SAFAGA,/vessels/details/9460734,-,2010,43736,80443,229,32,,-,-,-,-,-,-,-,-,-,2025-07-12
75,WADI ALYARMOUK,/vessels/details/9460772,Cargo ship,2010,43726,80384,229,32,,"Jul 9, 04:22 UTC (3 days ago)",Italy,Ravenna Anch.,"Jul 9, 05:17 UTC
ARRIVED",Italy,Ravenna,44.4777N, 12.2604E,Moored,2025-07-12
76,ESNA,/vessels/details/9139268,Cargo ship,1998,38464,71598,224,32,,"Jun 20, 22:43 UTC (22 days ago)",United States (USA),Mobile,"Jul 13, 20:00
(in 1 day)",Malta,Valletta,35.9N, 14.5324E,Under way,2025-07-12
77,EDFU,/vessels/details/9139256,Cargo ship,1997,38464,71572,224,32,,"Jul 6, 17:42 UTC (6 days ago)",Spain,Las Palmas,"Jul 16, 22:00
(in 4 days)",Turkey,Nemrut,38.7768N, 26.909E,Under way,2025-07-12
78,WADI AL KARNAK,/vessels/details/9127136,Cargo ship,1997,37028,70090,225,32,,"Jul 3, 19:17 UTC (9 days ago)",France,La Pallice,"Jul 14, 16:00
(in 2 days)",Egypt,Port Said,31.2644N, 32.3346E,Under way,2025-07-12
79,WADI ALARAB,/vessels/details/9107681,Cargo ship,1995,37027,64214,225,32,,"Jul 10, 14:44 UTC (2 days ago)",France,La Pallice,"Jul 21, 06:00
(in 9 days)",Egypt,Alexandria,31.166N, 29.8385E,Under way,2025-07-12
80,WADI ALRAYAN,/vessels/details/9208875,Cargo ship,2000,34750,40301,215,32,,"Jul 10, 02:11 UTC (3 days ago)",Saudi Arabia,Jeddah,"Jul 17, 04:00
(in 5 days)",United Arab Emirates (UAE),Khalifa,24.8324N, 54.644E,-,2025-07-12
81,WADI ALBOSTAN,/vessels/details/9460722,Cargo ship,2011,33234,57320,190,32,,"Jul 5, 19:09 UTC (7 days ago)",Singapore,Singapore Anch. 4,"Jul 15, 10:00
(in 3 days)",India,Hazira,21.0666N, 72.6159E,Under way,2025-07-12
82,WADI FERAN,/vessels/details/9460083,Cargo ship,2011,33234,57282,190,32,,"Jul 11, 05:48 UTC (1 day ago)",Bangladesh,Chattogram Anch.,"Jul 11, 05:51 UTC
ARRIVED",Bangladesh,Chattogram Anch.,22.21N, 91.8E,At anchor,2025-07-12
83,SAFEEN PRESTIGE,/vessels/details/9593517,Cargo ship,2013,18252,23425,175,27,,"Jul 12, 07:26 UTC (7 hours ago)",Libya,Al Khums,"Jul 12, 11:40 UTC
ARRIVED",Libya,Misurata Anch.,32.367N, 15.2328E,Under way,2025-07-12
84,CAPT.KATTELMANN,/vessels/details/9330915,Cargo ship,2006,15995,20305,170,25,,"Jul 12, 04:44 UTC (10 hours ago)",Egypt,El Dekheila,"Jul 12, 20:00
(in 5 hours)",Egypt,Dumyat (Damietta),31.4919N, 31.7534E,Under way,2025-07-12
85,EGY CROWN,/vessels/details/9216107,Cargo ship,2000,14241,18425,159,24,,"Jul 7, 11:05 UTC (5 days ago)",Bulgaria,Varna,"Jul 7, 11:20 UTC
ARRIVED",Bulgaria,Varna,43.1902N, 27.939E,Moored,2025-07-12
86,EGY FUTURE,/vessels/details/9127538,Cargo ship,1998,13977,18425,159,24,,"Mar 7, 01:56 UTC (128 days ago)",Egypt,Alexandria,-,,Destination not available,-,-,-,2025-07-12
87,AL HURREYA,/vessels/details/9266487,Cargo ship,2005,13529,5904,140,24,,"Jul 8, 08:38 UTC (4 days ago)",Egypt,Safaga,"Jul 7, 13:00",,SUEZ-SAFAGA,-,-,Moored,2025-07-12
88,AL HURREYA 2,/vessels/details/9309136,Cargo ship,2007,13529,5904,140,24,,"Jul 12, 11:05 UTC (4 hours ago)",Saudi Arabia,Duuba,"Jul 12, 13:22",,NEOM,-,-,Moored,2025-07-12
89,ELREEDY STAR,/vessels/details/9161182,Cargo ship,1998,13066,20537,153,24,,"Jul 8, 20:40 UTC (4 days ago)",Saudi Arabia,Jeddah,"Jul 12, 03:48 UTC
ARRIVED",Djibouti,Djibouti,11.609N, 43.1203E,Moored,2025-07-12
90,PAN GG,/vessels/details/9236286,Cargo ship,2002,10308,12562,149,23,,"Jul 11, 21:33 UTC (17 hours ago)",Egypt,Dumyat (Damietta),"Jul 12, 08:21 UTC
ARRIVED",Egypt,Alexandria Anch.,31.166N, 29.8385E,At anchor,2025-07-12
91,EGY SKY,/vessels/details/9366483,Cargo ship (HAZ-A),2007,10308,12720,149,23,,"Jul 11, 08:34 UTC (1 day ago)",Egypt,Alexandria Anch.,"Jul 12, 05:00",,EGACT,-,-,At anchor,2025-07-12
92,LOTUS,/vessels/details/9193525,Cargo ship,1999,8443,9389,136,20,,"Jul 11, 22:10 UTC (17 hours ago)",Lebanon,Beirut,"Jul 13, 01:30
(in 11 hours)",Turkey,Antalya,36.8367N, 30.6216E,Under way,2025-07-12
93,BRIDGE,/vessels/details/8708622,Cargo ship,1989,7363,4683,122,20,,"Jul 7, 16:46 UTC (5 days ago)",Sudan,Digna (Sawakin),"Jul 8, 09:45",,JEDDAH<>SAWAKIN,-,-,At anchor,2025-07-12
94,AL SHAYMAA,/vessels/details/7612400,-,1981,5744,8207,128,18,,-,-,-,-,-,-,-,-,-,2025-07-12
95,MERSA ALAM,/vessels/details/9055175,-,2000,4414,6016,101,18,,-,-,-,-,-,-,-,-,-,2025-07-12
96,SHOROK 4,/vessels/details/9593610,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-12
97,RAS EL KHAIMA,/vessels/details/7023958,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-12
98,EL HURREYA 3,/vessels/details/9500390,-,2024,20437,11350,174,26,,-,-,-,-,-,-,-,-,-,2025-07-12
99,ZAHER,/vessels/details/622122260,-,-,-,-,15,27,,-,-,-,-,-,-,-,-,-,2025-07-12
100,SHUNLI096,/vessels/details/622442056,-,-,-,-,70,10,,-,-,-,-,-,-,-,-,-,2025-07-12
101,SHOROK 3,/vessels/details/9593608,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-12
102,SAKKR 2,/vessels/details/7910606,-,1981,100,20,24,5,,-,-,-,-,-,-,-,-,-,2025-07-12
103,SUEZ FLOWER,/vessels/details/7012507,-,1970,1179,1727,73,12,,-,-,-,-,-,-,-,-,-,2025-07-12
104,NOUR,/vessels/details/6913443,-,1969,110,161,32.82,-,,-,-,-,-,-,-,-,-,-,2025-07-12
105,HAI BAO,/vessels/details/622666018,-,-,-,-,180,32,,-,-,-,-,-,-,-,-,-,2025-07-12
106,SHOROK 1,/vessels/details/9593581,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-12
107,SHOROK 2,/vessels/details/9593593,-,2012,200,294,30.00,-,,-,-,-,-,-,-,-,-,-,2025-07-12
108,EL AABED,/vessels/details/7325643,-,1973,1981,3068,80,14,,-,-,-,-,-,-,-,-,-,2025-07-12
109,MV ROYAL,/vessels/details/622121120,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,2025-07-12
110,ELMALEK KHALED,/vessels/details/7010171,-,1970,499,1046,76,13,,-,-,-,-,-,-,-,-,-,2025-07-12
